mag_x_ut,mag_y_ut,mag_z_ut
-540.3767151425074,611.7763022456858,-388.37889024201485
-540.3767151425074,611.7763022456858,-388.37889024201485
-494.75784657443404,657.478543006993,-285.8724040318083
-494.75784657443404,657.478543006993,-285.8724040318083
-521.1708830344386,656.7605212727236,-106.39252580516151
-521.1708830344386,656.7605212727236,-106.39252580516151
-577.831730678024,576.1330855316262,141.6123832944933
-577.831730678024,576.1330855316262,141.6123832944933
-562.2491682662582,531.4735438736594,293.889438370184
-562.2491682662582,531.4735438736594,293.889438370184
-557.3135066387096,451.8790470647487,415.83110475268256
-557.3135066387096,451.8790470647487,415.83110475268256
-537.8561086010205,365.87060311761405,529.086795226539
-537.8561086010205,365.87060311761405,529.086795226539
-540.2559881421937,226.88582763973642,651.7451671805527
-540.2559881421937,226.88582763973642,651.7451671805527
-505.76216570440283,132.17000634051846,745.7586846117601
-505.76216570440283,132.17000634051846,745.7586846117601
-465.01550824780054,68.9554160540153,799.0290553500189
-465.01550824780054,68.9554160540153,799.0290553500189
-465.01550824780054,68.9554160540153,799.0290553500189
-352.6809537457118,-34.138309215653436,881.3523474628776
-352.6809537457118,-34.138309215653436,881.3523474628776
-191.2034908460933,-137.0921105574115,962.1337248247186
-191.2034908460933,-137.0921105574115,962.1337248247186
-80.28357898001205,-275.6488992437624,948.7786635528443
-80.28357898001205,-275.6488992437624,948.7786635528443
40.10511665258255,-367.6600582662537,913.3157375894102
40.10511665258255,-367.6600582662537,913.3157375894102
104.29799350600815,-497.16192002969603,852.4334630274996
104.29799350600815,-497.16192002969603,852.4334630274996
130.24424778348,-595.2803700064673,791.9138462163902
130.24424778348,-595.2803700064673,791.9138462163902
186.0438068510085,-649.7853471314879,713.6217151473084
186.0438068510085,-649.7853471314879,713.6217151473084
264.92535358262285,-675.0493045531613,659.1222823763896
264.92535358262285,-675.0493045531613,659.1222823763896
311.90779876580194,-764.5878579114022,542.33247074013
311.90779876580194,-764.5878579114022,542.33247074013
360.191570798446,-817.9234452674134,424.41691756831284
360.191570798446,-817.9234452674134,424.41691756831284
365.8579412346954,-838.6255721192214,395.66598740247827
365.8579412346954,-838.6255721192214,395.66598740247827
458.0022540628154,-830.5756403890758,342.9479665902592
458.0022540628154,-830.5756403890758,342.9479665902592
510.5604433930959,-847.359311706696,289.89225688775514
510.5604433930959,-847.359311706696,289.89225688775514
510.5604433930959,-847.359311706696,289.89225688775514
577.0106774530534,-833.8697003879911,325.13847953791804
577.0106774530534,-833.8697003879911,325.13847953791804
597.5905852393714,-825.2172940070653,351.7393330123964
597.5905852393714,-825.2172940070653,351.7393330123964
606.6680826517073,-864.2943093281169,289.5130168011873
606.6680826517073,-864.2943093281169,289.5130168011873
612.6959045461845,-883.5572860759613,218.19104195592863
612.6959045461845,-883.5572860759613,218.19104195592863
696.0125195166621,-821.4612141775112,213.87284224107998
696.0125195166621,-821.4612141775112,213.87284224107998
697.7672059724282,-816.1051111595452,198.17892019379997
697.7672059724282,-816.1051111595452,198.17892019379997
739.8650134686272,-760.9853931314582,-35.50461234833668
739.8650134686272,-760.9853931314582,-35.50461234833668
756.3107731146287,-662.4198576261621,-156.24415340305077
756.3107731146287,-662.4198576261621,-156.24415340305077
728.8418505340912,-565.0639325868366,-324.7127166152166
728.8418505340912,-565.0639325868366,-324.7127166152166
731.098293399944,-484.9712887203193,-399.1797770347627
731.098293399944,-484.9712887203193,-399.1797770347627
684.0675402890224,-385.7842180120622,-520.690130620223
684.0675402890224,-385.7842180120622,-520.690130620223
584.4898620726347,-386.79889594413066,-607.8302933904639
584.4898620726347,-386.79889594413066,-607.8302933904639
584.4898620726347,-386.79889594413066,-607.8302933904639
547.8877901092534,-395.3104745679734,-636.7375218762622
547.8877901092534,-395.3104745679734,-636.7375218762622
615.0803190344672,-367.9762094535197,-607.6444588598921
615.0803190344672,-367.9762094535197,-607.6444588598921
777.1718247094645,-297.28072986143417,-499.8635598554053
777.1718247094645,-297.28072986143417,-499.8635598554053
794.5216477372392,-338.3223967159909,-447.73785447421693
794.5216477372392,-338.3223967159909,-447.73785447421693
849.756482995192,-282.17494388372654,-391.5594470490846
849.756482995192,-282.17494388372654,-391.5594470490846
857.3993488968958,-297.6958967979214,-368.11487550470304
857.3993488968958,-297.6958967979214,-368.11487550470304
860.5938785698116,-251.80016428218158,-385.88743918738874
860.5938785698116,-251.80016428218158,-385.88743918738874
894.6792797600294,-316.65313516507143,-258.73621499873025
894.6792797600294,-316.65313516507143,-258.73621499873025
895.8240959932634,-324.1449345398471,-191.1555388514904
895.8240959932634,-324.1449345398471,-191.1555388514904
928.1685755787502,-280.28014336049165,-97.4154360644189
928.1685755787502,-280.28014336049165,-97.4154360644189
980.9504490903129,-157.0173174518397,37.88021271705952
980.9504490903129,-157.0173174518397,37.88021271705952
951.526188989463,-140.2859017806128,207.52078599021723
951.526188989463,-140.2859017806128,207.52078599021723
979.8235106581277,-17.070315956658575,156.16080833904618
979.8235106581277,-17.070315956658575,156.16080833904618
979.8235106581277,-17.070315956658575,156.16080833904618
964.9088497579957,101.74330096927834,227.5648433089625
964.9088497579957,101.74330096927834,227.5648433089625
906.485264774212,273.16835713979106,266.7291780184665
906.485264774212,273.16835713979106,266.7291780184665
831.8449520093429,404.36866623926346,216.2505293650662
831.8449520093429,404.36866623926346,216.2505293650662
772.0177071770117,558.3191103987486,-69.01057271791396
772.0177071770117,558.3191103987486,-69.01057271791396
738.1176240727797,550.0958108713462,-247.84719106217077
738.1176240727797,550.0958108713462,-247.84719106217077
683.1316051931844,524.3361044663721,-479.1811859088817
683.1316051931844,524.3361044663721,-479.1811859088817
546.4839700328841,503.1947965890085,-617.2224409099339
546.4839700328841,503.1947965890085,-617.2224409099339
474.85584661842114,408.474126257512,-771.5483017902599
474.85584661842114,408.474126257512,-771.5483017902599
271.30560006116565,123.50731149526315,-944.3473667229885
271.30560006116565,123.50731149526315,-944.3473667229885
114.73847257743813,-26.168894097655777,-968.0961587737519
114.73847257743813,-26.168894097655777,-968.0961587737519
24.516643241196405,-53.09558022920754,-996.0124600950494
24.516643241196405,-53.09558022920754,-996.0124600950494
-105.2238877083609,-19.716096200061084,-984.9528801513737
-105.2238877083609,-19.716096200061084,-984.9528801513737
-105.2238877083609,-19.716096200061084,-984.9528801513737
-235.0283985893418,-63.62267991129504,-968.7427548343151
-235.0283985893418,-63.62267991129504,-968.7427548343151
-301.074599853801,-54.383437226285004,-952.0836088330208
-301.074599853801,-54.383437226285004,-952.0836088330208
-413.37720356798894,21.622035285496956,-900.2454996683032
-413.37720356798894,21.622035285496956,-900.2454996683032
-561.7690729829983,37.97048594467874,-804.8254428734997
-561.7690729829983,37.97048594467874,-804.8254428734997
-712.0217885253543,26.74496237490037,-676.3852130182962
-712.0217885253543,26.74496237490037,-676.3852130182962
-808.7361626914285,40.10312120187233,-530.3189874217046
-808.7361626914285,40.10312120187233,-530.3189874217046
-900.1562890739581,83.38377933490501,-387.8780229757085
-900.1562890739581,83.38377933490501,-387.8780229757085
-997.0136067897864,210.5727978710273,-308.6315500297442
-997.0136067897864,210.5727978710273,-308.6315500297442
-1169.3302810171626,527.7711623188944,-310.6121793073836
-1169.3302810171626,527.7711623188944,-310.6121793073836
-1094.742619446173,1146.9739923223376,-44.03828141247153
-1094.742619446173,1146.9739923223376,-44.03828141247153
-584.0760662124125,1492.0334018924298,486.59852693025186
-584.0760662124125,1492.0334018924298,486.59852693025186
-49.317861004826675,1303.665940537927,861.8530349171245
-49.317861004826675,1303.665940537927,861.8530349171245
-84.95642215539627,934.2077386387538,847.8191718681862
277.46265611810617,998.7617072701516,848.5291210941489
277.46265611810617,998.7617072701516,848.5291210941489
349.5859573484968,724.5851742579507,731.9954101345018
349.5859573484968,724.5851742579507,731.9954101345018
386.6945693145655,518.3299336348146,686.6745379041002
386.6945693145655,518.3299336348146,686.6745379041002
359.59467927189996,312.0200811697105,732.4711100204702
359.59467927189996,312.0200811697105,732.4711100204702
466.26694996372896,160.43994171830064,754.1151562152149
466.26694996372896,160.43994171830064,754.1151562152149
601.380877015034,120.82905638739925,743.0190654508733
601.380877015034,120.82905638739925,743.0190654508733
813.8027519823454,125.5701070894089,624.7929372403611
813.8027519823454,125.5701070894089,624.7929372403611
880.1336447255557,83.83406856297556,592.2523944467456
880.1336447255557,83.83406856297556,592.2523944467456
892.7404397661752,145.48601766410414,577.6006430947164
892.7404397661752,145.48601766410414,577.6006430947164
809.7302272644217,172.62303194887915,672.9029625131428
809.7302272644217,172.62303194887915,672.9029625131428
876.7794109092415,183.89611243478367,599.4481740802069
876.7794109092415,183.89611243478367,599.4481740802069
941.9747260475531,247.0949214796846,481.8216627817503
941.9747260475531,247.0949214796846,481.8216627817503
1002.0949822308713,217.5032635092721,370.61118945124645
1002.0949822308713,217.5032635092721,370.61118945124645
1002.0949822308713,217.5032635092721,370.61118945124645
1051.1907421443511,229.32257408916706,213.30929420828326
1051.1907421443511,229.32257408916706,213.30929420828326
1066.5084249862086,209.1912231201716,-128.0818176000004
1066.5084249862086,209.1912231201716,-128.0818176000004
1032.675346537425,145.02633018194146,-304.6180196127095
1032.675346537425,145.02633018194146,-304.6180196127095
969.1112971215131,120.30116379425515,-426.1831436300718
